Benchmark,latency-Q10_8,memory
1,5363.533333333334,54.69135284423828,180,0.68441063,16.451612903225808
2,18594.77192982456,56.766398111979164,294,0.765625,8.39344262295082
3,6416.025862068966,56.570252100626625,410,0.7414105,10.8
4,13575.908450704226,56.80591646830241,552,0.74493927,12.327868852459016
5,38883.41176470588,57.02247683207194,569,0.7678812,0.0
6,17756.31868131868,56.866146087646484,660,0.74660635,9.466666666666667
7,8263.231481481482,56.7803586324056,768,0.74418604,9.933333333333334
8,14387.130434782608,56.97037569681803,883,0.7219951,12.524590163934427
9,16169.315789473685,57.38534736633301,902,0.73753065,0.0
10,7222.925,57.06883875528971,1062,0.70658684,18.666666666666668
Finale Results,7966.803571428572,57.34304504394531,1174,0.71892226,21.92

AVERAGES,14054,56,,3.5946113
