Benchmark,latency-Q10_8,memory
1,1238.7232558139535,54.50714287391076,430,0.98173517,27.746031746031747
2,1246.7487922705313,56.210354487101235,844,0.9871345,27.733333333333334
3,1162.2718676122931,56.42079226175944,1267,0.99450547,27.933333333333334
4,1254.5288461538462,56.68391990661621,1683,0.9935065,27.540983606557376
5,1164.0501193317423,56.96123949686686,2102,0.9957366,27.8
6,1215.6825775656325,57.35701560974121,2521,0.9968367,27.466666666666665
7,1259.7692307692307,57.49592844645182,2937,0.99626863,27.933333333333334
8,1279.9052132701422,57.76396942138672,3359,0.9985137,27.733333333333334
9,1202.120481927711,58.0640614827474,3774,0.9973573,27.934426229508198
10,1171.5876777251185,58.18266487121582,4196,0.9978597,27.933333333333334
Finale Results,1375.202380952381,58.50950317382812,4364,0.9979419,26.88

AVERAGES,1233,57,,4.9897095
